Host,Контур,ПО,Версия
mdm01-tech-cem-test19t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test20t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test21t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test22t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test23t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test24t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test25t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test26t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test27t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test28t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test29t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-test30t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-zbxprx01t,tech_test,Docker,29.2.0-ce
mdm01-tech-cem-zbxprx01t,tech_test,vmagent,v1.115.0
mdm01-tech-test01t,test,Docker,28.3.3-ce
mdm01-tech-test01t,test,Jenkins,2.424
mdm01-tech-test01t,test,Nginx,1.27.1.2
mdm01-tech-test01t,test,Tomcat,9.0.71
mdm01-tech-test02t,test,Apache_ignite,2.12.0
mdm01-tech-test02t,test,Docker,28.5.1-ce
mdm01-tech-test02t,test,Nginx,1.27.1.2
mdm01-tp-gateway-all02t,test,Consul,v1.8.4
mdm01-tp-gateway-all02t,test,Docker,29.0.2-ce
mdm01-tp-in-lb01t,test,Docker,29.2.0-ce
mdm01-tp-in-lb01t,test,Nginx,1.27.1.2
mdm01-tp-main-all01t,test,Consul,v1.8.4
mdm01-tp-main-all01t,test,Docker,26.1.5-ce
mdm01-tp-main-all01t,test,PostgreSQL,15.6.0
mdm01-tp-main-all01t,test,Redis,7.2.5
mdm01-zbxprx01t,test,Docker,1.13.1
mdm01-zbxprx01t,test,vmagent,v1.115.0
mdm30-common-in-rmq001p,prod_dc15,ETCD,3.4.13
mdm30-common-in-rmq001p,prod_dc15,Keepalived,v2.2.8
mdm30-common-in-rmq001p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-in-rmq002p,prod_dc15,ETCD,3.4.13
mdm30-common-in-rmq002p,prod_dc15,Keepalived,v2.2.8
mdm30-common-in-rmq002p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-in-rmq003p,prod_dc15,ETCD,3.4.13
mdm30-common-in-rmq003p,prod_dc15,Keepalived,v2.2.8
mdm30-common-in-rmq003p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-in-rmq01p,prod,Keepalived,v2.3.2
mdm30-common-in-rmq01p,prod,RabbitMQ,4.1.2
mdm30-common-in-rmq01s,stage,RabbitMQ,4.1.0
mdm30-common-in-rmq02p,prod,Keepalived,v2.3.2
mdm30-common-in-rmq02p,prod,RabbitMQ,4.1.2
mdm30-common-in-rmq03p,prod,Keepalived,v2.3.2
mdm30-common-in-rmq03p,prod,RabbitMQ,4.1.2
mdm30-common-int-rmq001p,prod_dc15,ETCD,3.4.13
mdm30-common-int-rmq001p,prod_dc15,Keepalived,v2.2.8
mdm30-common-int-rmq001p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-int-rmq002p,prod_dc15,ETCD,3.4.13
mdm30-common-int-rmq002p,prod_dc15,Keepalived,v2.2.8
mdm30-common-int-rmq002p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-int-rmq003p,prod_dc15,ETCD,3.4.13
mdm30-common-int-rmq003p,prod_dc15,Keepalived,v2.2.8
mdm30-common-int-rmq003p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-int-rmq01p,prod,Keepalived,v2.3.2
mdm30-common-int-rmq01p,prod,RabbitMQ,4.1.2
mdm30-common-int-rmq01s,stage,RabbitMQ,4.1.0
mdm30-common-int-rmq02p,prod,Keepalived,v2.3.2
mdm30-common-int-rmq02p,prod,RabbitMQ,4.1.2
mdm30-common-int-rmq03p,prod,Keepalived,v2.3.2
mdm30-common-int-rmq03p,prod,RabbitMQ,4.1.2
mdm30-common-out-mq001p,prod_dc15,Keepalived,v2.2.8
mdm30-common-out-mq001p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-out-mq002p,prod_dc15,Keepalived,v2.2.8
mdm30-common-out-mq002p,prod_dc15,RabbitMQ,4.1.2
mdm30-common-out-mq003p,prod_dc15,Keepalived,v2.2.8
mdm30-common-out-mq003p,prod_dc15,RabbitMQ,4.1.2
mdm30-elk-es01p,prod,Elasticsearch,7.16.2
mdm30-elk-es02p,prod,Elasticsearch,7.16.2
mdm30-elk-es03p,prod,Elasticsearch,7.16.2
mdm30-elk-es04p,prod,Elasticsearch,7.16.2
mdm30-elk-es05p,prod,Elasticsearch,7.16.2
mdm30-elk-kib01p,prod,Kibana,7.16.2
mdm30-infra-auto-app01p,prod_dc15,Docker,28.3.3-ce
mdm30-infra-auto-app01p,prod_dc15,Jenkins,2.424
mdm30-infra-awx001p,prod_dc15,Docker,26.1.0-ce
mdm30-infra-elk-kafka001p,prod_dc15,Docker,26.1.5-ce
mdm30-infra-elk-kafka001p,prod_dc15,Kafka,3.7.0
mdm30-infra-elk-kafka002p,prod_dc15,Docker,26.1.5-ce
mdm30-infra-elk-kafka002p,prod_dc15,Kafka,3.7.0
mdm30-infra-elk-kafka003p,prod_dc15,Kafka,3.7.0
mdm30-infra-elk-kafka01p,prod,Docker,28.3.0-ce
mdm30-infra-elk-kafka01p,prod,Kafka,4.0.0
mdm30-infra-elk-kafka01s,stage,Docker,26.1.0-ce
mdm30-infra-elk-kafka01s,stage,Kafka,4.0.0
mdm30-infra-elk-kafka02p,prod,Kafka,4.0.0
mdm30-infra-elk-kafka03p,prod,Kafka,4.0.0
mdm30-infra-elk-log001p,prod_dc15,Logstash,8.9.0
mdm30-infra-elk-log01p,prod,Logstash,8.9.0
mdm30-infra-elk-os001p,prod_dc15,Opensearch,2.13.0
mdm30-infra-elk-os002p,prod_dc15,Opensearch,2.13.0
mdm30-infra-elk-os003p,prod_dc15,Opensearch,2.16.0
mdm30-infra-elk-os004p,prod_dc15,Opensearch,2.13.0
mdm30-infra-elk-os005p,prod_dc15,Opensearch,2.16.0
mdm30-infra-elk-os006p,prod_dc15,Opensearch,2.16.0
mdm30-infra-elk-os007p,prod_dc15,Opensearch,2.16.0
mdm30-infra-elk-os01p,prod,Opensearch,2.16.0
mdm30-infra-elk-os02p,prod,Opensearch,2.16.0
