Host,Контур,ПО,Версия
mdm30-pdp-hist-chk03p,prod,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chk03s,stage,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chs01p,prod,Clickhouse,24.12.1.1614
mdm30-pdp-hist-chs01p,prod,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chs01s,stage,Clickhouse,24.12.1.1614
mdm30-pdp-hist-chs01s,stage,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chs02p,prod,Clickhouse,24.12.1.1614
mdm30-pdp-hist-chs02p,prod,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chs02s,stage,Clickhouse,24.12.1.1614
mdm30-pdp-hist-chs02s,stage,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-lb01p,prod,Keepalived,v1.3.5
mdm30-pdp-lb01p,prod,Nginx,1.27.1.2
mdm30-pdp-lb01t,stage,Keepalived,v1.3.5
mdm30-pdp-lb01t,stage,Nginx,1.27.1.2
mdm30-pdp-lb02p,prod,Keepalived,v1.3.5
mdm30-pdp-lb02p,prod,Nginx,1.27.1.2
mdm30-pdp-main-lb01s,stage,Nginx,1.27.1.2
mdm30-stp-scripts-app01p,prod,Docker,28.4.0-ce
mdm30-tech-test001s,test,Consul,v1.8.4
mdm30-tech-test001s,test,Docker,26.1.4
mdm30-tech-test001s,test,Zk,3.9.1
mdm30-tech-test002s,test,Consul,v1.8.4
mdm30-tech-test002s,test,Docker,26.1.4
mdm30-tech-test002s,test,Nginx,1.27.1.2
mdm30-tech-test003s,test,Consul,v1.8.4
mdm30-tech-test003s,test,Docker,26.1.4
mdm30-tech-test003s,test,Jenkins,2.249.3
mdm30-tp-gw-pdp001p,prod_dc15,Consul,v1.8.4
mdm30-tp-gw-pdp001p,prod_dc15,Docker,26.1.5-ce
mdm30-tp-gw-pdp01s,stage,Consul,v1.8.3
mdm30-tp-gw-pdp01s,stage,Docker,26.1.5-ce
mdm30-tp-in-lb001p,prod_dc15,Nginx,1.25.3.1
mdm30-tp-in-lb01s,stage,Nginx,1.27.1.2
mdm30-tp-main-consl001p,prod_dc15,Consul,v1.8.4
mdm30-tp-web-app001p,prod_dc15,Consul,v1.8.4
mdm30-tp-web-app001p,prod_dc15,Docker,26.1.5-ce
mdm30-tp-web-app001p,prod_dc15,Redis,7.2.5
mdm30-tp-web-app01s,stage,Consul,v1.8.3
mdm30-tp-web-app01s,stage,Docker,26.1.0-ce
mdm30-tp-web-app01s,stage,PostgreSQL,15.3.0
mdm30-tp-web-app01s,stage,Redis,7.2.5
mdm30-tp-web-pg001p,prod_dc15,PostgreSQL,15.3.0
mdm30-zbxprx01p,prod,Consul,v1.8.4
mdm30-zbxprx01p,prod,vmagent,v1.115.0
mdm30-zbxprx01t,stage,Consul,v1.8.4
mdm30-zbxprx01t,stage,vmagent,v1.115.0
mdm30a-app10p,prod,Consul,v1.8.4
mdm30a-app12p,prod,Consul,v1.8.4
mdm30a-app12p,prod,Docker,19.03.13
mdm30a-db01p,prod,Consul,v1.8.4
mdm30a-db01p,prod,Keepalived,v1.3.5
mdm30a-db01p,prod,PostgreSQL,11.4.0
mdm30a-db01t,stage,Keepalived,v1.3.5
mdm30a-db02p,prod,Consul,v1.8.4
mdm30a-db02p,prod,Keepalived,v1.3.5
mdm30a-db02p,prod,PostgreSQL,11.4.0
mdm30a-es01p,prod,Consul,v1.8.4
mdm30a-es01p,prod,Elasticsearch,6.8.22
mdm30a-es01t,stage,Consul,v1.8.4
mdm30a-es01t,stage,Elasticsearch,6.8.22
mdm30a-es02p,prod,Consul,v1.8.4
mdm30a-es02p,prod,Elasticsearch,6.8.22
mdm30a-es02t,stage,Consul,v1.8.4
mdm30a-es02t,stage,Elasticsearch,6.8.22
mdm30a-es03p,prod,Consul,v1.8.4
mdm30a-es03p,prod,Elasticsearch,6.8.22
mdm30a-es04p,prod,Consul,v1.8.4
mdm30a-es04p,prod,Elasticsearch,6.8.22
mdm30a-es05p,prod,Elasticsearch,6.8.22
mdm30a-lb01p,prod,Consul,v1.8.4
mdm30a-lb01p,prod,Keepalived,v1.3.5
mdm30a-lb01p,prod,Nginx,1.27.1.2
mdm30a-lb01t,stage,Consul,v1.8.4
mdm30a-lb01t,stage,Keepalived,v1.3.5
mdm30a-lb01t,stage,Nginx,1.27.1.2
mdm30a-lb02p,prod,Consul,v1.8.4
mdm30a-lb02p,prod,Keepalived,v1.3.5
mdm30a-lb02p,prod,Nginx,1.27.1.2
mdm30a-pdpapp01p,prod,ETCD,3.4.13
mdm30a-pdpapp01p,prod,Redis,8.2.2
mdm30a-pdpapp01t,stage,Redis,8.2.2
mdm30a-pdpapp02p,prod,ETCD,3.4.13
mdm30a-pdpapp02p,prod,Redis,8.2.2
mdm30a-pdpapp02t,stage,Redis,8.2.2
mdm30a-pdpapp03p,prod,ETCD,3.4.13
mdm30a-pdpapp03p,prod,Redis,8.2.2
mdm30a-pdpapp03t,stage,Redis,8.2.2
mdm30a-pdpdb01p,prod,Keepalived,v1.3.5
mdm30a-pdpdb01p,prod,PostgreSQL,15.12.0
mdm30a-pdpdb01t,stage,PostgreSQL,12.7.0
mdm30a-pdpdb02p,prod,Keepalived,v1.3.5
mdm30a-pdpdb02p,prod,PostgreSQL,15.12.0
mdm30a-pdpes01p,prod,Elasticsearch,6.8.22
mdm30a-pdpes01t,stage,Elasticsearch,6.8.22
mdm30a-pdpes02p,prod,Elasticsearch,6.8.22
mdm30a-pdpes02t,stage,Elasticsearch,6.8.22
mdm30a-pdprmq01p,prod,Keepalived,v1.3.5
mdm30a-pdprmq01p,prod,RabbitMQ,3.8.3
mdm30a-pdprmq01t,stage,RabbitMQ,3.8.3
mdm30a-pdprmq02p,prod,Keepalived,v1.3.5
mdm30a-pdprmq02p,prod,RabbitMQ,3.8.3
mdm30t-consl01p,prod,Consul,v1.8.4
mdm30t-consl01p,prod,Docker,19.03.12
mdm30t-consl01p,prod,Kibana,7.16.2
mdm30t-consl02p,prod,Consul,v1.8.4
mdm30t-consl02p,prod,Docker,19.03.12
mdm30t-consl02p,prod,ETCD,3.4.13
mdm30t-consl03p,prod,Consul,v1.8.4
mdm30t-consl03p,prod,Docker,19.03.12
mdm30t-db02t,stage,PostgreSQL,9.6.24
mdm30t-erl01p,prod,Consul,v1.8.4
mdm30t-erl01p,prod,Docker,19.03.12
mdm30t-es05t,stage,Opensearch,2.14.0
mdm30t-es06t,stage,Opensearch,2.14.0
mdm30t-es07t,stage,Opensearch,2.14.0
mdm30t-es08t,stage,Opensearch,2.14.0
mdm30t-es09t,stage,Opensearch,2.14.0
mdm30t-es10t,stage,Opensearch,2.14.0
mdm30t-es11t,stage,Opensearch,2.14.0
mdm30t-es12t,stage,Opensearch,2.14.0
mdm30t-es13t,stage,Opensearch,2.14.0
mdm30t-es14t,stage,Opensearch,2.14.0
mdm30t-esia01p,prod,Consul,v1.8.4
mdm30t-esia01p,prod,Docker,19.03.12
mdm30t-gateway-asur2-db01p,prod,Keepalived,v1.3.5
mdm30t-gateway-asur2-db01p,prod,PostgreSQL,15.4.0
mdm30t-gateway-asur2-db01t,stage,PostgreSQL,15.4.0
mdm30t-gateway-asur2-db02p,prod,Keepalived,v1.3.5
mdm30t-gateway-asur2-db02p,prod,PostgreSQL,15.4.0
mdm30t-gateway-asur2-db02t,stage,PostgreSQL,15.1.0
mdm30t-grexv01p,prod,Consul,v1.8.4
mdm30t-grexv01p,prod,Docker,19.03.12
mdm30t-grexv02p,prod,Consul,v1.8.4
mdm30t-grexv02p,prod,Docker,19.03.12
mdm30t-kzd01t,stage,Consul,v1.8.4
mdm30t-kzd01t,stage,Docker,1.13.1
mdm30t-kzd01t,stage,Nginx,1.19.3.2
mdm30t-kzd01t,stage,Tomcat,8.0.30
mdm30t-lb01p,prod,Consul,v1.8.4
mdm30t-lb01p,prod,Keepalived,v1.3.5
mdm30t-lb01p,prod,Nginx,1.27.1.2
mdm30t-lb01t,stage,Nginx,1.27.1.2
mdm30t-lb02p,prod,Consul,v1.8.4
mdm30t-lb02p,prod,Keepalived,v1.3.5
mdm30t-lb02p,prod,Nginx,1.27.1.2
mdm30t-log11p,prod,Consul,v1.8.4
mdm30t-log11p,prod,Docker,19.03.12
mdm30t-log11p,prod,Kibana,7.8.1
mdm30t-log11p,prod,Logstash,7.16.2
mdm30t-merge01p,prod,Consul,v1.8.4
mdm30t-merge01p,prod,Docker,19.03.12
mdm30t-merge02p,prod,Consul,v1.8.4
mdm30t-merge02p,prod,Docker,19.03.12
mdm30t-mfc01p,prod,Consul,v1.8.4
mdm30t-mfc01p,prod,Docker,19.03.12
mdm30t-nf01st,stage,Nifi,1.24.0
mdm30t-nf02st,stage,Nifi,1.17.0-bin.zip
mdm30t-nf03st,stage,Nifi,1.17.0-bin.zip
mdm30t-penth01p,prod,Consul,v1.8.4
mdm30t-penth01p,prod,Docker,19.03.12
mdm30t-penth01p,prod,Nginx,1.19.3.2
mdm30t-pg03p,prod,Consul,v1.8.4
mdm30t-pg03p,prod,ETCD,3.4.13
mdm30t-pg03p,prod,Keepalived,v1.3.5
mdm30t-pg03p,prod,PostgreSQL,13.2.0
mdm30t-pg03t,stage,PostgreSQL,16.8.0
mdm30t-pg04p,prod,Consul,v1.8.4
mdm30t-pg04p,prod,ETCD,3.4.13
mdm30t-pg04p,prod,Keepalived,v1.3.5
mdm30t-pg04p,prod,PostgreSQL,13.2.0
mdm30t-pg04t,stage,PostgreSQL,16.8.0
mdm30t-rmq01p,prod,Consul,v1.8.4
mdm30t-rmq01p,prod,Keepalived,v1.3.5
mdm30t-rmq02p,prod,Consul,v1.8.4
mdm30t-rmq02p,prod,Keepalived,v1.3.5
mdm30t-rvld01p,prod,Consul,v1.8.4
mdm30t-rvld01p,prod,Docker,19.03.12
mdm30t-stage01t,stage,Apache_ignite,2.12.0
mdm30t-stage01t,stage,Consul,v1.8.4
mdm30t-stage01t,stage,Docker,19.03.12
mdm30t-stage01t,stage,Tomcat,8.0.30
mdm30t-stage02t,stage,Apache_ignite,2.12.0
mdm30t-stage02t,stage,Consul,v1.8.4
mdm30t-stage02t,stage,Docker,19.03.12
mdm30t-stage03t,stage,Apache_ignite,2.12.0
mdm30t-stage03t,stage,Consul,v1.8.4
mdm30t-stage03t,stage,Docker,19.03.12
mdm30t-stp01p,prod,Nginx,1.19.9.1
mdm30t-sudir01p,prod,Consul,v1.8.4
mdm30t-sudir01p,prod,Docker,19.03.12
mdm30t-sudir02p,prod,Consul,v1.8.4
mdm30t-sudir02p,prod,Docker,19.03.12
mdm30t-tpm01p,prod,Consul,v1.8.4
mdm30t-tpm01p,prod,Docker,19.03.12
mdm30t-tpm02p,prod,Consul,v1.8.4
mdm30t-tpm02p,prod,Docker,19.03.12
mdm30t-ud03t,stage,Tomcat,9.0.71
mdm30t-ud04t,stage,Tomcat,9.0.71
mdm30t-ud05t,stage,Tomcat,9.0.71
mdm30t-ud06t,stage,Tomcat,9.0.71
mdm30t-ud07t,stage,Tomcat,9.0.71
mdm30t-ud08t,stage,Tomcat,9.0.71
mdm30t-ulk01p,prod,Consul,v1.8.4
mdm30t-ulk01p,prod,Docker,19.03.12
mdm30t-ulk01t,stage,Consul,v1.8.4
mdm30t-ulk01t,stage,Docker,20.10.12
mdm30t-ulk01t,stage,Tomcat,8.0.30
mdm30t-zags01p,prod,Consul,v1.8.4
mdm30t-zags01p,prod,Docker,19.03.12
